House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
12,Thompson Plains,Max,Anderson,63,Lodger,Single,Male,Media planner,None,Christian
12,Thompson Plains,Stewart,Whitehouse,37,Lodger,Single,Male,Immigration officer,None,Christian
12,Thompson Plains,Tracey,George,64,Lodger,Single,Female,Research scientist (maths),None,Catholic
12,Thompson Plains,Nathan,Lamb,28,Lodger,Single,Male,Community pharmacist,None,Methodist
12,Thompson Plains,Lorraine,Bryan,53,Lodger,Single,Female,"Scientist, research (maths)",None,Christian
13,Thompson Plains,Helen,Mason,51,Head,Single,Female,Unemployed,None,None
13,Thompson Plains,Craig,Mason,18,Son,Single,Male,Student,None,None
13,Thompson Plains,Lindsey,Mason,15,Daughter,NA,Female,Student,None,NA
13,Thompson Plains,Raymond,Mason,15,Son,NA,Male,Student,None,NA
13,Thompson Plains,Kate,Mason,14,Daughter,NA,Female,Student,None,NA
14,Thompson Plains,Carole,Robinson,69,Head,Married,Female,Retired Newspaper journalist,None,None
14,Thompson Plains,Gerard,Robinson,69,Husband,Married,Male,"Retired Journalist, newspaper",None,None
15,Thompson Plains,Caroline,Hale,38,Head,Married,Female,"Geologist, wellsite",None,Catholic
15,Thompson Plains,Liam,Hale,39,Husband,Married,Male,Wellsite geologist,None,Catholic
15,Thompson Plains,Robert,Hale,18,Son,Divorced,Male,Student,None,Catholic
15,Thompson Plains,Natalie,Hale,17,Daughter,NA,Female,Student,None,NA
15,Thompson Plains,Shane,Hale,15,Son,NA,Male,Student,None,NA
16,Thompson Plains,James,Allen,57,Head,Married,Male,"Psychologist, prison and probation services",None,None
16,Thompson Plains,Sophie,Allen,52,Wife,Married,Female,"Programmer, applications",None,None
16,Thompson Plains,Darren,Duffy,4,Grandson,NA,Male,Child,None,NA
16,Thompson Plains,Danny,Duffy,1,Grandson,NA,Male,Child,None,NA
16,Thompson Plains,Declan,Hayes,43,Sibling,Single,Male,Logistics and distribution manager,None,Christian
17,Thompson Plains,Rosemary,Barrett-Bond,52,Head,Married,Female,Armed forces technical officer,None,None
17,Thompson Plains,Henry,Barrett-Bond,59,Husband,Married,Male,Industrial buyer,None,None
17,Thompson Plains,Paige,Barrett-Bond,26,Daughter,Divorced,Female,Data processing manager,None,None
17,Thompson Plains,Beth,Barrett-Bond,23,Daughter,Single,Female,Ceramics designer,None,None
17,Thompson Plains,Rhys,Barrett-Bond,16,Son,NA,Male,Student,None,NA
18,Thompson Plains,Josephine,Graham,78,Head,Single,Female,Retired Dramatherapist,None,Christian
18,Thompson Plains,William,Jones,78,Partner,Single,Male,Retired Sport and exercise psychologist,None,None
18,Thompson Plains,Alexander,Graham,55,Son,Single,Male,Unemployed,None,Christian
18,Thompson Plains,Arthur,Holden,48,Son,Single,Male,Unemployed,None,Christian
18,Thompson Plains,Marian,Holden,46,Daughter,Single,Female,"Lecturer, further education",None,None
18,Thompson Plains,Samantha,Holden,46,Daughter,Single,Female,"Doctor, general practice",None,None
18,Thompson Plains,Owen,Holden,41,Son,Single,Male,Education administrator,None,None
18,Thompson Plains,Joan,Holden,39,Daughter,Single,Female,Unemployed,None,Christian
18,Thompson Plains,Charlotte,Holden,37,Daughter,Single,Female,"Lecturer, higher education",None,None
18,Thompson Plains,Abbie,Holden,34,Daughter,Single,Female,Sport and exercise psychologist,Blind,None
18,Thompson Plains,Denis,Holden,30,Son,Single,Male,Chartered public finance accountant,None,Christian
18,Thompson Plains,Bethan,Holden,29,Daughter,Single,Female,"Conservation officer, nature",None,Christian
18,Thompson Plains,Sarah,Holden,26,Daughter,Divorced,Female,"Engineer, mining",None,Christian
18,Thompson Plains,Alison,Holden,14,Daughter,NA,Female,Student,None,NA
19,Thompson Plains,Danielle,Johnson,57,Head,Married,Female,Maintenance engineer,None,None
19,Thompson Plains,Thomas,Robinson,58,Husband,Married,Male,Retail buyer,None,None
19,Thompson Plains,Lawrence,Johnson,19,Son,Single,Male,University Student,None,None
19,Thompson Plains,Jake,Johnson,17,Son,NA,Male,Student,None,NA
19,Thompson Plains,Jeffrey,Johnson,17,Son,NA,Male,Student,None,NA
20,Thompson Plains,Gillian,Smart,54,Head,Married,Female,Land/geomatics surveyor,None,Methodist
20,Thompson Plains,Keith,Smart,61,Husband,Married,Male,Advertising art director,None,None
20,Thompson Plains,Russell,Smart,23,Son,Single,Male,Aeronautical engineer,None,Methodist
20,Thompson Plains,Stephanie,Smart,17,Daughter,NA,Female,Student,None,NA
20,Thompson Plains,Josh,Smart,15,Son,NA,Male,Student,None,NA
21,Thompson Plains,Rhys,Blake,47,Head,Divorced,Male,Curator,None,Catholic
21,Thompson Plains,Megan,Moran-Blake,0,Daughter,NA,Female,Child,None,NA
21,Thompson Plains,Gillian,Moran-Blake,0,Daughter,NA,Female,Child,None,NA
21,Thompson Plains,Sylvia,Moran-Blake,0,Daughter,NA,Female,Child,None,NA
22,Thompson Plains,Lynda,Anderson,41,Head,Single,Female,Applications developer,None,Catholic
22,Thompson Plains,Marion,Anderson,15,Daughter,NA,Female,Student,None,NA
22,Thompson Plains,Marilyn,Anderson,14,Daughter,NA,Female,Student,None,NA
22,Thompson Plains,Aimee,Anderson,10,Daughter,NA,Female,Student,None,NA
22,Thompson Plains,Shannon,Anderson,9,Daughter,NA,Female,Student,None,NA
22,Thompson Plains,Roger,Anderson,7,Son,NA,Male,Student,None,NA
22,Thompson Plains,Jamie,Anderson,4,Son,NA,Male,Child,None,NA
22,Thompson Plains,Charles,Anderson,3,Son,NA,Male,Child,None,NA
22,Thompson Plains,Carly,Anderson,2,Daughter,NA,Female,Child,None,NA
22,Thompson Plains,Sheila,Anderson,0,Daughter,NA,Female,Child,None,NA
22,Thompson Plains,Jason,Wallis,43,Lodger,Widowed,Male,Retail buyer,None,None
22,Thompson Plains,Alan,Reeves,62,Lodger,Single,Male,Local government officer,None,None
22,Thompson Plains,Owen,Knight,52,Visitor,Single,Male,Astronomer,None,Christian
22,Thompson Plains,Stephanie,Gilbert,19,Lodger,Single,Female,Copy,None,Muslim
22,Thompson Plains,Harriet,Gray,52,Lodger,Single,Female,Emergency planning/management officer,None,None
22,Thompson Plains,Reece,Morgan,55,Sibling,Single,Male,Biomedical scientist,None,Christian
22,Thompson Plains,Jeffrey,Gregory,21,Lodger,Single,Male,University Student,None,None
22,Thompson Plains,Stacey,Gordon,25,Lodger,Single,Female,Chief Executive Officer,None,None
23,Thompson Plains,Heather,Hutchinson,49,Head,Divorced,Female,Mental health nurse,None,None
23,Thompson Plains,Tony,Hutchinson,12,Son,NA,Male,Student,None,NA
23,Thompson Plains,Heather,Hutchinson,11,Daughter,NA,Female,Student,None,NA
23,Thompson Plains,Hollie,Hutchinson,7,Daughter,NA,Female,Student,None,NA
24,Thompson Plains,Jasmine,Jones,58,Head,Single,Female,Museum/gallery exhibitions officer,None,None
24,Thompson Plains,Ross,Daly,61,Partner,Single,Male,Contracting civil engineer,None,None
24,Thompson Plains,Barry,Jones,24,Son,Single,Male,Leisure centre manager,None,None
24,Thompson Plains,Bernard,Jones,23,Son,Single,Male,Naval architect,None,None
24,Thompson Plains,Trevor,Jones,17,Son,NA,Male,Student,None,NA
25,Thompson Plains,Hayley,Williams,60,Head,Single,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
25,Thompson Plains,Hugh,Williams,42,Son,Single,Male,Air cabin crew,None,None
25,Thompson Plains,Bruce,Williams,39,Son,Single,Male,Data processing manager,None,None
25,Thompson Plains,Jason,Williams,39,Son,Divorced,Male,Patent attorney,None,None
25,Thompson Plains,Kyle,Williams,39,Son,Single,Male,"Designer, multimedia",None,None
25,Thompson Plains,Clifford,Williams,35,Son,Single,Male,"Lecturer, higher education",None,None
26,Thompson Plains,Victoria,Jones,40,Head,Single,Female,Unemployed,None,None
26,Thompson Plains,Ricky,Jones,9,Adopted Son,NA,Male,Student,None,NA
26,Thompson Plains,Adam,Jones,7,Son,NA,Male,Student,None,NA
26,Thompson Plains,Terence,Jones,4,Son,NA,Male,Child,None,NA
26,Thompson Plains,Martin,Jones,3,Son,NA,Male,Child,None,NA
27,Thompson Plains,Mathew,Campbell,63,Head,Single,Male,"Surveyor, land/geomatics",None,Christian
28,Thompson Plains,Rhys,Adams,50,Head,Single,Male,"Pilot, airline",None,Catholic
29,Thompson Plains,Zoe,Cartwright,105,Head,Single,Female,Retired Fitness centre manager,None,None
29,Thompson Plains,Alex,Birch,105,Partner,Single,Male,Retired IT technical support officer,None,None
29,Thompson Plains,Diana,Cartwright,68,Daughter,Single,Female,Retired Microbiologist,None,None
29,Thompson Plains,Graeme,Cartwright,67,Son,Widowed,Male,Mining engineer,None,None
29,Thompson Plains,Colin,Cartwright,65,Son,Widowed,Male,Dramatherapist,None,None
29,Thompson Plains,Lorraine,Cartwright,62,Daughter,Single,Female,"Surveyor, land/geomatics",None,None
29,Thompson Plains,Jay,Cartwright,60,Son,Single,Male,"Scientist, research (maths)",None,None
29,Thompson Plains,Linda,Cartwright,56,Daughter,Single,Female,"Designer, fashion/clothing",None,None
29,Thompson Plains,Lorraine,Cartwright,55,Daughter,Single,Female,Advertising account executive,None,None
29,Thompson Plains,Teresa,Cartwright,55,Daughter,Single,Female,Minerals surveyor,None,None
29,Thompson Plains,Kayleigh,Cartwright,55,Daughter,Single,Female,"Production designer, theatre/television/film",None,None
29,Thompson Plains,Paula,Cartwright,53,Daughter,Single,Female,Civil Service fast streamer,None,None
29,Thompson Plains,Mohamed,Cartwright,49,Son,Divorced,Male,Data scientist,None,None
29,Thompson Plains,June,Cartwright,47,Daughter,Single,Female,Colour technologist,None,None
29,Thompson Plains,Edward,Cartwright,43,Son,Single,Male,"Scientist, research (medical)",None,None
29,Thompson Plains,Philip,Cartwright,40,Son,Single,Male,Broadcast journalist,None,None
29,Thompson Plains,Naomi,Cartwright,33,Daughter,Single,Female,"Engineer, maintenance (IT)",None,None
29,Thompson Plains,Eric,Cartwright,31,Son,Divorced,Male,Personal assistant,None,None
29,Thompson Plains,Bernard,Cartwright,25,Son,Divorced,Male,Risk analyst,None,Christian
29,Thompson Plains,Dawn,Cartwright,14,Daughter,NA,Female,Student,None,NA
30,Thompson Plains,Elizabeth,Patel,35,Head,Married,Female,Financial risk analyst,None,None
30,Thompson Plains,Martin,Patel,39,Husband,Married,Male,Volunteer coordinator,None,None
30,Thompson Plains,Martyn,Patel,5,Son,NA,Male,Student,None,NA
30,Thompson Plains,Karl,Smith-Patel,3,Son,NA,Male,Child,None,NA
30,Thompson Plains,Matthew,Smith-Patel,2,Son,NA,Male,Child,None,NA
31,Thompson Plains,Leah,Phillips,75,Head,Widowed,Female,Retired Commercial/residential surveyor,None,None
32,Thompson Plains,Helen,Clarke,38,Head,Single,Female,Diagnostic radiographer,None,Christian
32,Thompson Plains,Benjamin,Houghton,41,Partner,Single,Male,Set designer,None,None
32,Thompson Plains,Rosemary,Clarke,11,Daughter,NA,Female,Student,None,NA
32,Thompson Plains,Chloe,Clarke,8,Daughter,NA,Female,Student,None,NA
32,Thompson Plains,Janet,Clarke,5,Daughter,NA,Female,Student,None,NA
33,Thompson Plains,Emily,Kirby,40,Head,Married,Female,Petroleum engineer,None,Catholic
33,Thompson Plains,Colin,Kirby,45,Husband,Married,Male,Unemployed,None,Catholic
33,Thompson Plains,Julia,Kirby,4,Daughter,NA,Female,Child,None,NA
33,Thompson Plains,Joyce,Kirby,4,Daughter,NA,Female,Child,None,NA
33,Thompson Plains,Hazel,Kirby,1,Daughter,NA,Female,Child,Mental Disability,NA
34,Thompson Plains,Bethan,James,71,Head,Married,Female,Retired Metallurgist,None,Methodist
34,Thompson Plains,Rhys,James,73,Husband,Married,Male,Retired Management consultant,None,Methodist
35,Thompson Plains,Julia,Williams,65,Head,Married,Female,"Psychologist, educational",None,None
35,Thompson Plains,Jay,Williams,70,Husband,Married,Male,"Retired Exhibitions officer, museum/gallery",None,None
35,Thompson Plains,Ian,Williams,22,Son,Single,Male,University Student,None,None
35,Thompson Plains,Sylvia,Williams,21,Daughter,Single,Female,University Student,None,None
35,Thompson Plains,Patrick,Williams,18,Son,Single,Male,Student,None,None
36,Thompson Plains,Jade,Parkes,51,Head,Married,Female,Firefighter,None,None
36,Thompson Plains,Clive,Parkes,53,Husband,Married,Male,"Engineer, petroleum",None,None
36,Thompson Plains,Elliott,Parkes,26,Son,Single,Male,Clothing/textile technologist,None,None
36,Thompson Plains,Mohammad,Elliott,24,Son,Single,Male,"Psychologist, occupational",None,None
36,Thompson Plains,Laura,Elliott,13,Daughter,NA,Female,Student,None,NA
37,Thompson Plains,Nicola,Smith,72,Head,Married,Female,"Retired Nurse, learning disability",None,Methodist
37,Thompson Plains,Nathan,Watson,73,Husband,Married,Male,Retired Planning and development surveyor,None,Methodist
37,Thompson Plains,Katy,Smith,49,Daughter,Single,Female,Applications developer,None,Methodist
37,Thompson Plains,Elliott,Smith,47,Son,Single,Male,Probation officer,None,None
37,Thompson Plains,Marilyn,Smith,44,Daughter,Single,Female,Mental health nurse,None,None
37,Thompson Plains,Grace,Smith,43,Daughter,Single,Female,"Psychologist, counselling",None,Methodist
37,Thompson Plains,Kirsty,Smith,40,Daughter,Single,Female,"Surveyor, quantity",None,Methodist
37,Thompson Plains,Luke,Smith,40,Son,Single,Male,"Embryologist, clinical",None,Methodist
37,Thompson Plains,Jeremy,Smith,38,Son,Divorced,Male,"Biochemist, clinical",None,Methodist
37,Thompson Plains,Linda,Smith,34,Daughter,Single,Female,"Surveyor, minerals",None,Methodist
37,Thompson Plains,Billy,Smith,12,Son,NA,Male,Student,None,NA
38,Thompson Plains,Cheryl,Webb,46,Head,Married,Female,Veterinary surgeon,None,None
38,Thompson Plains,Karl,Bell,48,Husband,Married,Male,Management consultant,None,None
38,Thompson Plains,Nathan,Webb,28,Son,Single,Male,Futures trader,None,None
39,Thompson Plains,Kim,Dixon,42,Head,Single,Female,Accounting technician,None,None
39,Thompson Plains,Colin,Jones,58,None,Single,Male,Print production planner,None,Muslim
39,Thompson Plains,Molly,Porter,40,None,Widowed,Female,Geochemist,None,Christian
39,Thompson Plains,Georgia,Griffiths,22,None,Single,Female,University Student,None,None
39,Thompson Plains,Nicola,Perry,36,None,Single,Female,"Scientist, biomedical",None,Catholic
40,Thompson Plains,Lewis,Lee,40,Head,Divorced,Male,Unemployed,None,Catholic
40,Thompson Plains,Ann,Brennan,53,Lodger,Single,Female,"Surveyor, rural practice",None,None
40,Thompson Plains,Melanie,Lowe,32,Lodger,Divorced,Female,Horticultural therapist,None,None
40,Thompson Plains,Ben,Davey,53,Lodger,Single,Male,"Surveyor, minerals",None,Catholic
40,Thompson Plains,Lorraine,Hilton,24,Lodger,Single,Female,Human resources officer,None,None
40,Thompson Plains,Bethan,Davies,24,Visitor,Divorced,Female,Animator,None,None
41,Thompson Plains,Suzanne,Wilson,78,Head,Married,Female,"Retired Teacher, English as a foreign language",None,Christian
41,Thompson Plains,Maurice,Wilson,80,Husband,Married,Male,"Retired Designer, exhibition/display",None,Christian
41,Thompson Plains,Denis,Wilson,36,Son,Divorced,Male,Travel agency manager,None,Christian
41,Thompson Plains,Jade,Wilson,32,Daughter,Single,Female,Insurance account manager,None,Christian
41,Thompson Plains,Elizabeth,Wilson,30,Daughter,Divorced,Female,Aeronautical engineer,None,None
41,Thompson Plains,Jayne,Wilson,27,Daughter,Single,Female,Clinical psychologist,None,None
42,Thompson Plains,Rachel,Owen,72,Head,Single,Female,Unemployed,None,Methodist
42,Thompson Plains,Emily,Owen,35,Daughter,Single,Female,Industrial buyer,None,Methodist
42,Thompson Plains,Iain,Taylor-Owen,32,Son,Single,Male,Risk analyst,None,Methodist
42,Thompson Plains,Shane,Taylor-Owen,30,Son,Single,Male,Fitness centre manager,None,None
42,Thompson Plains,Keith,Taylor-Owen,24,Son,Single,Male,Armed forces training and education officer,None,None
43,Thompson Plains,Victoria,Lewis,45,Head,Single,Female,Unemployed,None,None
43,Thompson Plains,Dale,Lewis,23,Son,Single,Male,Associate Professor,None,None
43,Thompson Plains,Tony,Lewis,23,Son,Divorced,Male,"Production assistant, television",None,None
43,Thompson Plains,Kathryn,Lewis,21,Daughter,Single,Female,University Student,None,None
43,Thompson Plains,Terry,Lewis,18,Son,Divorced,Male,Student,None,None
44,Thompson Plains,Shirley,Bennett,49,Head,Married,Female,Cytogeneticist,None,Catholic
44,Thompson Plains,Russell,Bennett,50,Husband,Married,Male,"Designer, ceramics/pottery",None,Catholic
44,Thompson Plains,Julia,Bennett,17,Daughter,NA,Female,Student,None,NA
44,Thompson Plains,Hayley,Naylor,14,Daughter,NA,Female,Student,None,NA
44,Thompson Plains,Ashley,Naylor,10,Son,NA,Male,Student,None,NA
45,Thompson Plains,Carolyn,Lewis,54,Head,Married,Female,Television camera operator,None,Christian
45,Thompson Plains,Adrian,Lewis,52,Husband,Married,Male,"Scientist, water quality",None,Christian
45,Thompson Plains,Joshua,Lewis,23,Son,Single,Male,Media buyer,None,Christian
45,Thompson Plains,Lindsey,Lewis,20,Daughter,Single,Female,University Student,None,Christian
45,Thompson Plains,Rosemary,Lewis,16,Daughter,NA,Female,Student,None,NA
46,Thompson Plains,Carly,Nash,33,Head,Single,Female,Unemployed,None,None
46,Thompson Plains,Bradley,Nash,9,Son,NA,Male,Student,None,NA
46,Thompson Plains,Beth,Nash,7,Daughter,NA,Female,Student,None,NA
46,Thompson Plains,Rosemary,Nash,3,Daughter,NA,Female,Child,None,NA
46,Thompson Plains,Stuart,Hill,32,Lodger,Single,Male,Armed forces logistics/support/administrative officer,None,Muslim
46,Thompson Plains,Jay,Green,33,Lodger,Single,Male,Adult guidance worker,None,None
46,Thompson Plains,Nicole,Hudson,40,Lodger,Single,Female,Set designer,None,Christian
46,Thompson Plains,Maurice,Wallace,40,Lodger,Single,Male,Glass blower/designer,None,None
46,Thompson Plains,Joshua,Ryan,47,Lodger,Single,Male,"Engineer, automotive",None,Catholic
46,Thompson Plains,Martin,Cooper,41,Lodger,Single,Male,IT consultant,None,None
46,Thompson Plains,Natalie,West,39,Sibling,Divorced,Female,Unemployed,None,None
46,Thompson Plains,June,Greenwood,29,Visitor,Single,Female,Hotel manager,None,Catholic
47,Thompson Plains,Karen,Harris,56,Head,Single,Female,Careers adviser,None,Christian
47,Thompson Plains,Owen,Williams,58,Partner,Single,Male,Physiotherapist,None,None
47,Thompson Plains,Joshua,Harris,27,Son,Divorced,Male,Lawyer,None,Christian
47,Thompson Plains,Jayne,Harris,23,Daughter,Divorced,Female,"Programmer, systems",None,Christian
47,Thompson Plains,Shirley,Harris,13,Daughter,NA,Female,Student,None,NA
48,Thompson Plains,Kimberley,Walker,68,Head,Married,Female,Retired Volunteer coordinator,None,None
48,Thompson Plains,Gareth,Walker,66,Husband,Married,Male,Unemployed,None,None
48,Thompson Plains,Roger,Walker,33,Son,Single,Male,Translator,None,None
48,Thompson Plains,Bruce,Walker,32,Son,Single,Male,Unemployed,None,None
48,Thompson Plains,Darren,Briggs-Walker,31,Son,Single,Male,"Surveyor, rural practice",None,None
48,Thompson Plains,Jason,Briggs-Walker,30,Son,Divorced,Male,"Exhibitions officer, museum/gallery",None,None
48,Thompson Plains,Nicola,Briggs-Walker,28,Daughter,Single,Female,Quantity surveyor,None,None
48,Thompson Plains,Zoe,Briggs-Walker,28,Daughter,Single,Female,"Exhibitions officer, museum/gallery",None,None
48,Thompson Plains,Craig,Briggs-Walker,25,Son,Single,Male,Diagnostic radiographer,None,None
48,Thompson Plains,Louise,Briggs-Walker,24,Daughter,Divorced,Female,Personnel officer,None,None
48,Thompson Plains,Owen,Briggs-Walker,5,Son,NA,Male,Student,None,NA
49,Thompson Plains,Jade,Bell,61,Head,Married,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,Catholic
49,Thompson Plains,Elliot,Bell,63,Husband,Married,Male,Accommodation manager,None,Catholic
49,Thompson Plains,Emma,Bell,29,Daughter,Divorced,Female,Rural practice surveyor,None,None
49,Thompson Plains,Iain,Bell,29,Son,Divorced,Male,Equality and diversity officer,None,Catholic
49,Thompson Plains,Keith,Bell,26,Son,Single,Male,Publishing copy,None,Catholic
49,Thompson Plains,Thomas,Bell,24,Son,Divorced,Male,Ecologist,None,Catholic
49,Thompson Plains,Lindsey,Bell,22,Daughter,Divorced,Female,University Student,None,Catholic
49,Thompson Plains,Cheryl,Bell,18,Daughter,Single,Female,Student,None,Catholic
49,Thompson Plains,Elizabeth,Bell,16,Daughter,NA,Female,Student,None,NA
49,Thompson Plains,David,Bell,16,Son,NA,Male,Student,None,NA
50,Thompson Plains,Jemma,Rahman,37,Head,Married,Female,Insurance account manager,None,Christian
50,Thompson Plains,Ben,Rahman,40,Husband,Married,Male,Unemployed,None,Christian
50,Thompson Plains,Connor,Chapman,8,Son,NA,Male,Student,None,NA
50,Thompson Plains,Natalie,Chapman,2,Daughter,NA,Female,Child,None,NA
50,Thompson Plains,Leonard,Long,19,Lodger,Single,Male,University Student,None,Catholic
51,Thompson Plains,Kathleen,Thomson,31,Head,Single,Female,Chartered legal executive (England and Wales),None,Muslim
51,Thompson Plains,Michael,Abbott,34,Partner,Single,Male,"Engineer, aeronautical",None,None
51,Thompson Plains,Lynn,Thomson,14,Daughter,NA,Female,Student,None,NA
51,Thompson Plains,Gail,Thomson,13,Daughter,NA,Female,Student,None,NA
51,Thompson Plains,Philip,Thomson,13,Son,NA,Male,Student,None,NA
1,South Lane,Rita,Little,79,Head,Widowed,Female,"Retired Scientist, research (physical sciences)",None,None
1,South Lane,Craig,James,14,Grandson,NA,Male,Student,None,NA
2,South Lane,Valerie,Hicks,74,Head,Widowed,Female,Retired Government social research officer,None,Methodist
3,South Lane,Maureen,Wilson,57,Head,Married,Female,Landscape architect,None,Methodist
3,South Lane,Bradley,Wilson,57,Husband,Married,Male,Unemployed,None,None
3,South Lane,Jodie,Wilson,28,Daughter,Single,Female,"Engineer, manufacturing systems",None,Methodist
4,South Lane,Josephine,Wilson,54,Head,Single,Female,"Administrator, education",None,Christian
4,South Lane,Julian,Bates,53,Partner,Single,Male,Minerals surveyor,None,Christian
4,South Lane,Bethan,Wilson,18,Daughter,Single,Female,Student,None,Christian
4,South Lane,Nicole,Wilson,16,Daughter,NA,Female,Student,None,NA
4,South Lane,Louise,Wilson,14,Daughter,NA,Female,Student,None,NA
5,South Lane,Mandy,Smith,40,Head,Single,Female,"Accountant, chartered certified",None,Catholic
6,South Lane,Angela,Wright,49,Head,Married,Female,Higher education careers adviser,None,Catholic
6,South Lane,Geoffrey,Wright,53,Husband,Married,Male,Public relations account executive,None,Catholic
6,South Lane,Barry,Wright,8,Son,NA,Male,Student,None,NA
6,South Lane,Arthur,Wright,8,Son,NA,Male,Student,None,NA
7,South Lane,Keith,Jones,33,Head,Single,Male,Information systems manager,None,None
8,South Lane,Christian,Lee,54,Head,Single,Male,Sales executive,None,Christian
8,South Lane,Jacqueline,Price,51,Partner,Single,Female,Retail manager,None,Christian
9,South Lane,Rhys,Richardson,67,Head,Divorced,Male,Homeopath,None,Christian
9,South Lane,Amber,Richardson,9,Granddaughter,NA,Female,Student,None,NA
10,South Lane,Pamela,Hussain,30,Head,Married,Female,"Teacher, secondary school",None,Methodist
10,South Lane,George,Hussain,29,Husband,Married,Male,Special effects artist,None,Methodist
11,South Lane,Kimberley,Hughes,52,Head,Divorced,Female,Unemployed,None,Jewish
11,South Lane,Nicholas,Hughes,17,Son,NA,Male,Student,None,NA
12,South Lane,Scott,Howarth,26,Head,Single,Male,"Psychologist, clinical",None,Sikh
12,South Lane,Brett,Rhodes,21,None,Single,Male,University Student,None,None
13,South Lane,Anne,Williams,37,Head,Single,Female,"Scientist, research (life sciences)",None,Christian
14,South Lane,Leanne,Chandler,45,Head,Divorced,Female,Fashion designer,None,Jewish
14,South Lane,Debra,Chandler,16,Daughter,NA,Female,Student,None,NA
14,South Lane,Danny,Chandler,14,Son,NA,Male,Student,None,NA
15,South Lane,Pamela,Harris,42,Head,Married,Female,Multimedia programmer,None,Catholic
15,South Lane,Peter,Harris,42,Husband,Married,Male,Environmental health practitioner,None,Catholic
16,South Lane,Jessica,Allen,42,Head,Divorced,Female,Unemployed,None,Catholic
16,South Lane,Stanley,Allen,8,Son,NA,Male,Student,None,NA
17,South Lane,Maria,Brady,53,Head,Married,Female,Recycling officer,None,Christian
17,South Lane,Andrew,Brady,49,Husband,Married,Male,Architect,None,None
17,South Lane,Jordan,Brady,29,Son,Single,Male,Health physicist,None,Christian
17,South Lane,Heather,Brady,25,Daughter,Divorced,Female,Press sub,None,Christian
17,South Lane,Karen,Brady,6,Daughter,NA,Female,Student,None,NA
18,South Lane,Amanda,Perry,96,Head,Widowed,Female,"Retired Psychologist, prison and probation services",None,Christian
19,South Lane,Steven,Jackson,81,Head,Widowed,Male,Retired Forensic scientist,None,Christian
20,South Lane,Nathan,Martin,26,Head,Single,Male,Administrator,None,None
20,South Lane,Jemma,Quinn,25,Partner,Single,Female,"Engineer, mining",None,None
21,South Lane,Julia,Miller,36,Head,Single,Female,Oceanographer,None,Catholic
21,South Lane,Bradley,Miller,11,Son,NA,Male,Student,None,NA
21,South Lane,Dawn,Miller,11,Daughter,NA,Female,Student,None,NA
22,South Lane,Emma,Barnes,32,Head,Divorced,Female,Community development worker,None,None
22,South Lane,Adrian,Barnes,4,Son,NA,Male,Child,None,NA
23,South Lane,Luke,Davies,25,Head,Married,Male,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
23,South Lane,Kim,Davies,28,Wife,Married,Female,Bonds trader,None,None
23,South Lane,Vincent,Robinson,56,Visitor,Single,Male,Cabin crew,None,None
24,South Lane,Patrick,Jones,38,Head,Married,Male,"Accountant, chartered",None,Christian
24,South Lane,Lorraine,Jones,32,Wife,Married,Female,"Civil engineer, contracting",None,Christian
25,South Lane,Leonard,Osborne,38,Head,Married,Male,Quantity surveyor,None,Catholic
25,South Lane,Shirley,Osborne,38,Wife,Married,Female,Radio producer,None,None
26,South Lane,Karen,White,59,Head,Married,Female,Insurance underwriter,None,Catholic
26,South Lane,Lewis,White,61,Husband,Married,Male,"Psychologist, forensic",None,Catholic
26,South Lane,Jessica,Howe-White,32,Daughter,Divorced,Female,Armed forces training and education officer,None,Catholic
26,South Lane,Roy,Howe-White,29,Son,Single,Male,Occupational therapist,None,Catholic
26,South Lane,Ryan,Howe-White,27,Son,Single,Male,Optometrist,None,Catholic
27,South Lane,Gemma,Stevenson,43,Head,Single,Female,Printmaker,None,None
27,South Lane,Richard,Lamb,44,Partner,Single,Male,Fisheries officer,None,None
27,South Lane,Ashleigh,Stevenson,17,Daughter,NA,Female,Student,None,NA
27,South Lane,Aimee,Stevenson,16,Daughter,NA,Female,Student,None,NA
27,South Lane,Stephanie,Stevenson,9,Daughter,NA,Female,Student,None,NA
28,South Lane,Maria,Walsh,45,Head,Married,Female,"Horticulturist, commercial",None,None
28,South Lane,Daniel,Walsh,50,Husband,Married,Male,"Engineer, chemical",None,None
28,South Lane,Jordan,Walsh,11,Son,NA,Male,Student,None,NA
28,South Lane,Gerald,Walsh,7,Son,NA,Male,Student,None,NA
29,South Lane,Michelle,Hall,69,Head,Widowed,Female,"Retired Engineer, water",None,Christian
30,South Lane,Jessica,Harrison,29,Head,Divorced,Female,Geoscientist,None,Christian
30,South Lane,Maurice,Harrison,4,Son,NA,Male,Child,None,NA
30,South Lane,Melanie,Harrison,1,Daughter,NA,Female,Child,None,NA
31,South Lane,Kelly,Bishop,46,Head,Married,Female,Unemployed,None,Christian
31,South Lane,Thomas,Bishop,47,Husband,Married,Male,"Psychotherapist, dance movement",None,Christian
31,South Lane,Lisa,Bishop,12,Daughter,NA,Female,Student,None,NA
31,South Lane,Holly,Bishop,9,Daughter,NA,Female,Student,None,NA
